Date,Close,High,Low,Open,Volume
2015-01-02,0.4829851984977722,0.4865842191651556,0.47530732587701624,0.4829851984977722,113680000
2015-01-05,0.47482749819755554,0.484424839624513,0.47266811425289534,0.4829852312599073,197952000
2015-01-06,0.4604315459728241,0.4760271798892142,0.45995168603430814,0.47554731995069827,197764000
2015-01-07,0.459231972694397,0.46786956770581717,0.4577923639917419,0.4637906859157129,321808000
2015-01-08,0.4765070676803589,0.47938628468424854,0.4642704812205812,0.464510425504989,283780000
2015-01-09,0.47842660546302795,0.48202562723931414,0.47170847915105246,0.47818668974611234,209540000
2015-01-12,0.47242820262908936,0.4798661320229877,0.46810940583915644,0.4796261877448941,190732000
2015-01-13,0.4717085063457489,0.48562461980807087,0.46834945729723465,0.4760273041240222,236720000
2015-01-14,0.47362780570983887,0.4750674139881685,0.4654701017386286,0.4666697657698211,155260000
2015-01-15,0.4702688455581665,0.47986615959739376,0.47002890126628505,0.47698697110607596,188932000
2015-01-16,0.47890639305114746,0.4793862529859824,0.46810938720498957,0.46954899561174374,181512000
2015-01-20,0.4803461730480194,0.48490485835853814,0.47434782161196803,0.4822656134730253,140308000
2015-01-21,0.4870642125606537,0.4882639055839061,0.4743477639776401,0.47770684151778375,144780000
2015-01-22,0.49546173214912415,0.49690134043044204,0.4829852033170273,0.4880237750971464,159712000
2015-01-23,0.49690166115760803,0.4978613815631108,0.4918630289207902,0.4959418835475749,120416000
2015-01-26,0.49474191665649414,0.49714124466880627,0.4916227845200392,0.49474191665649414,133240000
2015-01-27,0.47098857164382935,0.4875439527745268,0.47002882323788103,0.487064064270429,357948000
2015-01-28,0.46331071853637695,0.47866643626528277,0.4630707742741095,0.4767469679738885,272728000
2015-01-29,0.474587619304657,0.47722686337456555,0.4613912845461117,0.4635506972603103,235340000
2015-01-30,0.46067148447036743,0.47674700772417467,0.4599517088280484,0.47122854665214015,298200000
2015-02-02,0.47074875235557556,0.4726682210747623,0.4544333111458705,0.46355076611031637,259604000
2015-02-03,0.4825054705142975,0.4829853591644161,0.4717084907272363,0.4741078195688055,183468000
2015-02-04,0.4837051331996918,0.48922359490963796,0.47962625154304406,0.4810658888008508,181516000
2015-02-05,0.49162283539772034,0.4918627510624326,0.48370504641723505,0.4841848777466596,140448000
2015-02-06,0.4894634187221527,0.49690137631121833,0.4873040061442468,0.4911429427701359,210524000
2015-02-09,0.488983690738678,0.4904232422236863,0.48346522889853244,0.4865843619909847,273944000
2015-02-10,0.5026598572731018,0.5028997729857513,0.48730410757334847,0.4894635206007218,226204000
2015-02-11,0.4993007481098175,0.5038594321215347,0.49594164251631206,0.5038594321215347,320832000
2015-02-12,0.5350507497787476,0.5398494065943371,0.5247336319047798,0.5278527645553632,676904000
2015-02-13,0.5352904796600342,0.5360102836529803,0.5256931693600603,0.5338508716741417,310084000
2015-02-17,0.5369703769683838,0.5396096791809432,0.5309720824583847,0.5343311319603459,203340000
2015-02-18,0.5307320952415466,0.5372103355129277,0.5297723750102561,0.5362505580771172,170948000
2015-02-19,0.5321716070175171,0.5384098731885936,0.5297722782751423,0.5374501531325455,169432000
2015-02-20,0.5360106825828552,0.5362505983575692,0.5278529741973396,0.5316919126153835,157752000
2015-02-23,0.5316916704177856,0.5357705227525338,0.529052369280097,0.5357705227525338,125008000
2015-02-24,0.5373517870903015,0.5373517870903015,0.5289218314627834,0.5337389653712983,149356000
2015-02-25,0.5332574248313904,0.537592881395964,0.5308488569926674,0.535184256132454,123820000
2015-02-26,0.534702479839325,0.5378336232030695,0.530367024062705,0.5337390643638905,152864000
2015-02-27,0.5313301682472229,0.5344613096738379,0.5294032810636762,0.5332569980060287,157492000
2015-03-02,0.54433673620224,0.5472270399830134,0.5291627562027299,0.5298853321479232,301512000
2015-03-03,0.5342206954956055,0.5428915488467151,0.5325347042085524,0.5402421421705991,160344000
2015-03-04,0.5402419567108154,0.5414462111775425,0.5301259550364502,0.5322936819862609,226840000
2015-03-05,0.5505988597869873,0.5515622749537928,0.5387968660755348,0.5402420175381221,323056000
2015-03-06,0.5431326031684875,0.5501174098320482,0.5426508666219577,0.547468002388104,257392000
2015-03-09,0.5445774793624878,0.5486720948024231,0.5421689124462249,0.5433732246167389,222388000
2015-03-10,0.5539709329605103,0.5575838122129219,0.5460226560299722,0.5469860713556929,527212000
2015-03-11,0.5510806441307068,0.561196590401297,0.5496354925421187,0.5539708898831198,262120000
2015-03-12,0.5460225343704224,0.5498762522394235,0.5356656927208121,0.5457816949488457,406972000
2015-03-13,0.5467451810836792,0.5481903326503783,0.5359066017581982,0.543373199044556,359288000
2015-03-16,0.553248405456543,0.5566204455283876,0.5474678555723091,0.5510807351404382,236956000
2015-03-17,0.5599923729896545,0.5602332124622048,0.5481903774631862,0.5520440961478256,299900000
2015-03-18,0.5508399605751038,0.562882799435937,0.5457819854809894,0.5599925525642083,413844000
2015-03-19,0.5592697262763977,0.5611965566621654,0.5486720443051563,0.5527666019434823,310756000
2015-03-20,0.5652912259101868,0.5686632658881868,0.5585472608037286,0.563846131547925,462084000
2015-03-23,0.5469859838485718,0.5556568352424245,0.5467451444118632,0.5484311353183403,426012000
2015-03-24,0.5395195484161377,0.549153816837445,0.5371109813108108,0.5453000979839683,330480000
2015-03-25,0.5067628026008606,0.5392784730102479,0.5050767546824492,0.5392784730102479,542552000
2015-03-26,0.5050770044326782,0.5072447321784662,0.49279332872275877,0.496406208299072,311920000
2015-03-27,0.5149523019790649,0.5168791332958699,0.49977831872866696,0.5079674379622691,318288000
2015-03-30,0.5171200037002563,0.5197694109808865,0.5106168191345171,0.5173608432462815,253252000
2015-03-31,0.5041137337684631,0.5161565734394538,0.5036320546364971,0.5156748943074877,357276000
2015-04-01,0.5060405135154724,0.5077265049635894,0.4973696593360302,0.5060405135154724,330768000
2015-04-02,0.5072447061538696,0.5103758491511043,0.5029093083094975,0.5089306973947237,192204000
2015-04-06,0.5219369530677795,0.5236229441383681,0.49977811484044943,0.5050769275123664,515864000
2015-04-07,0.526513397693634,0.532293948361128,0.5190467980493733,0.5219371020955104,413964000
2015-04-08,0.5303671360015869,0.5322940247839201,0.5219371770313438,0.5269951524134896,366432000
2015-04-09,0.5426508784294128,0.5443368702417705,0.5260317424471583,0.5262725820132697,379432000
2015-04-10,0.5481903553009033,0.5484311947637169,0.5412054940564269,0.5431323820332298,258728000
2015-04-13,0.5431326031684875,0.5501174098320482,0.5407239778606263,0.5469862658415742,236724000
2015-04-14,0.5385560393333435,0.5431323332644769,0.5332571696538859,0.5409646060195044,220276000
2015-04-15,0.5450591444969177,0.5491537019770835,0.5373517084020426,0.540001171861082,243560000
2015-04-16,0.5416873097419739,0.5465044442523481,0.5378335906487199,0.5419281492400607,155284000
2015-04-17,0.534702479839325,0.5400013510913795,0.5301261845500405,0.530367024062705,293636000
2015-04-20,0.5320529937744141,0.5404829497113476,0.5310895210175348,0.5371109673365742,231624000
2015-04-21,0.5313301682472229,0.5385558659798558,0.5286807055479388,0.5385558659798558,230456000
2015-04-22,0.5373517870903015,0.5380743629190553,0.526272367615764,0.5344615412000521,207420000
2015-04-23,0.5351842045783997,0.5402422367498307,0.5214553749626494,0.527476822691807,259380000
2015-04-24,0.5306077599525452,0.5351839964280951,0.5245863145653218,0.5349431569885291,240960000
2015-04-27,0.534702479839325,0.5440959099305585,0.527717617149066,0.5322939124383504,248456000
2015-04-28,0.5373517870903015,0.539278675108567,0.5286809345700215,0.5337389653712983,234484000
2015-04-29,0.5332574248313904,0.5387971366029319,0.5310896965491037,0.5334982643878265,195156000
2015-04-30,0.534702479839325,0.537351886752964,0.5294036085872704,0.530607921000146,218844000
2015-05-01,0.5479496717453003,0.5496356633142372,0.5366293524006395,0.5390379199883752,256968000
2015-05-04,0.5445774793624878,0.551080661718686,0.5428914882635802,0.5474677826319092,200720000
2015-05-05,0.5306077599525452,0.54337316904569,0.5281991932826077,0.5426505933022328,292928000
2015-05-06,0.5322937369346619,0.5385560215973998,0.5253088765473959,0.5334979915257035,316484000
2015-05-07,0.5416873097419739,0.5433733010781275,0.5284401611260582,0.5301261524622118,534564000
2015-05-08,0.5017050504684448,0.5260316212073645,0.49351593286019607,0.5060405062079478,1146552000
2015-05-11,0.496888130903244,0.5019461647898966,0.49086673855696344,0.49472040209467855,544144000
2015-05-12,0.5017050504684448,0.5057996092725692,0.49303419641421486,0.49327509334959346,388800000
2015-05-13,0.504595160484314,0.5091714539767064,0.4997780275738232,0.505317736163363,308524000
2015-05-14,0.5127842426300049,0.5154337057611255,0.5048359680861437,0.506040279950244,293052000
2015-05-15,0.5130253434181213,0.5173607415180304,0.5098942002363308,0.5149521742570202,215824000
2015-05-18,0.5123026967048645,0.5154338394539785,0.5094123934211392,0.5118209603493219,324972000
2015-05-19,0.5091085433959961,0.5146738936619811,0.5081406112440852,0.512980041241415,253808000
2015-05-20,0.5091085433959961,0.5153998139306362,0.5086245773200406,0.5093504975886958,196824000
2015-05-21,0.5054792165756226,0.5115285362029143,0.5049952502368278,0.5093507742142187,239692000
2015-05-22,0.5047531723976135,0.5086247290888244,0.5035433433825577,0.5066889795885057,212592000
2015-05-26,0.5016074776649475,0.5057209881410973,0.49773592142546336,0.5023333980655112,259732000
2015-05-27,0.5284664034843445,0.5308861191244879,0.5033013146743961,0.5049951098534393,432332000
2015-05-28,0.5357256531715393,0.5374194486754986,0.5274986299549991,0.5284665048586069,327656000
2015-05-29,0.5354835987091064,0.5391131433413956,0.5347576782445342,0.5357255529671066,335168000
2015-06-01,0.5415329933166504,0.5468563921470883,0.5354837315321668,0.5388713227467244,372660000
2015-06-02,0.5308862328529358,0.5410490637948865,0.5304022665450014,0.538145381328448,224304000
2015-06-03,0.5250789523124695,0.536451613066714,0.5241110196473785,0.5323381011571311,250788000
2015-06-04,0.5345157980918884,0.536209593513861,0.5219332518822867,0.5219332518822867,323712000
2015-06-05,0.5386292338371277,0.5410489494844047,0.527256518373411,0.5328218701312054,313320000
2015-06-08,0.5262885689735413,0.5405649065738695,0.5202393095590098,0.5369353624632633,342812000
2015-06-09,0.5289505124092102,0.5328220123255846,0.5258048754592157,0.5267727504383094,256888000
2015-06-10,0.519513726234436,0.5260469560244251,0.5166100429097294,0.5226593639393345,529460000
2015-06-11,0.5250789523124695,0.5287084978895069,0.5195135990958369,0.5195135990958369,283052000
2015-06-12,0.5108025670051575,0.5248368972096595,0.5095926801184237,0.5216912605328504,323728000
2015-06-15,0.5098346471786499,0.5122543630482869,0.5042692949094272,0.5081407941483848,306548000
2015-06-16,0.5161257982254028,0.5168517186652499,0.5037852661291414,0.5088666515175014,256892000
2015-06-17,0.522175133228302,0.5250788150835264,0.514674032023068,0.5158838610023637,233544000
