Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 (mean)
Logistic Regression,0.95,0.4444444444444444,1.0,0.6153846153846154,1.0,0.6943722943722943
Random Forest,1.0,1.0,1.0,1.0,1.0,0.96
